Year,State,Sex,Age Group,COVID-19 Deaths,Total Deaths,Pneumonia Deaths,Influenza Deaths
2020,Alabama,Female,55-64 years,369.0,3737.0,345.0,12.0
2020,Alabama,Female,65-74 years,676.0,5901.0,520.0,15.0
2020,Alabama,Female,75-84 years,859.0,7909.0,686.0,10.0
2020,Alabama,Female,85 years and over,996.0,9546.0,648.0,0.0
2021,Alabama,Male,Under 1 year,0.0,247.0,0.0,0.0
2021,Alabama,Male,1-4 years,0.0,53.0,0.0,0.0
2021,Alabama,Male,5-14 years,0.0,89.0,0.0,0.0
2021,Alabama,Male,15-24 years,15.0,574.0,12.0,0.0
2021,Alabama,Male,25-34 years,95.0,1090.0,58.0,0.0
2021,Alabama,Male,35-44 years,253.0,1694.0,122.0,0.0
2021,Alabama,Male,45-54 years,553.0,2929.0,314.0,0.0
2021,Alabama,Male,55-64 years,1056.0,6299.0,635.0,0.0
2021,Alabama,Male,65-74 years,1407.0,8846.0,971.0,0.0
2021,Alabama,Male,75-84 years,1233.0,8320.0,850.0,0.0
2021,Alabama,Male,85 years and over,612.0,5300.0,467.0,0.0
2021,Alabama,Female,Under 1 year,0.0,184.0,0.0,0.0
2021,Alabama,Female,1-4 years,0.0,43.0,0.0,0.0
2021,Alabama,Female,5-14 years,0.0,45.0,0.0,0.0
2021,Alabama,Female,15-24 years,14.0,210.0,0.0,0.0
2021,Alabama,Female,25-34 years,77.0,550.0,44.0,0.0
2021,Alabama,Female,35-44 years,206.0,1020.0,118.0,0.0
2021,Alabama,Female,45-54 years,420.0,1929.0,218.0,0.0
2021,Alabama,Female,55-64 years,842.0,4194.0,514.0,0.0
2021,Alabama,Female,65-74 years,1141.0,6629.0,736.0,0.0
2021,Alabama,Female,75-84 years,1021.0,8039.0,716.0,0.0
2021,Alabama,Female,85 years and over,770.0,9039.0,561.0,0.0
2022,Alabama,Male,Under 1 year,0.0,217.0,0.0,0.0
2022,Alabama,Male,1-4 years,0.0,63.0,0.0,0.0
2022,Alabama,Male,5-14 years,0.0,81.0,0.0,0.0
2022,Alabama,Male,15-24 years,0.0,516.0,0.0,0.0
2022,Alabama,Male,25-34 years,27.0,1070.0,26.0,0.0
2022,Alabama,Male,35-44 years,43.0,1462.0,44.0,0.0
2022,Alabama,Male,45-54 years,132.0,2404.0,116.0,0.0
2022,Alabama,Male,55-64 years,384.0,5276.0,307.0,10.0
2022,Alabama,Male,65-74 years,640.0,7809.0,607.0,0.0
2022,Alabama,Male,75-84 years,660.0,7860.0,675.0,22.0
2022,Alabama,Male,85 years and over,416.0,5139.0,370.0,13.0
2022,Alabama,Female,Under 1 year,0.0,177.0,0.0,0.0
2022,Alabama,Female,1-4 years,0.0,40.0,0.0,0.0
2022,Alabama,Female,5-14 years,0.0,47.0,0.0,0.0
2022,Alabama,Female,15-24 years,0.0,195.0,0.0,0.0
2022,Alabama,Female,25-34 years,14.0,422.0,17.0,0.0
2022,Alabama,Female,35-44 years,28.0,789.0,33.0,0.0
2022,Alabama,Female,45-54 years,114.0,1593.0,93.0,0.0
2022,Alabama,Female,55-64 years,302.0,3533.0,276.0,11.0
2022,Alabama,Female,65-74 years,428.0,5867.0,422.0,17.0
2022,Alabama,Female,75-84 years,533.0,7847.0,511.0,17.0
2022,Alabama,Female,85 years and over,489.0,8720.0,413.0,13.0
2023,Alabama,Male,Under 1 year,0.0,148.0,0.0,0.0
2023,Alabama,Male,1-4 years,0.0,35.0,0.0,0.0
2023,Alabama,Male,5-14 years,0.0,60.0,0.0,0.0
2023,Alabama,Male,15-24 years,0.0,318.0,0.0,0.0
2023,Alabama,Male,25-34 years,0.0,638.0,14.0,0.0
2023,Alabama,Male,35-44 years,0.0,971.0,30.0,0.0
2023,Alabama,Male,45-54 years,19.0,1516.0,63.0,0.0
2023,Alabama,Male,55-64 years,42.0,3272.0,157.0,0.0
2023,Alabama,Male,65-74 years,118.0,5010.0,318.0,0.0
2023,Alabama,Male,75-84 years,165.0,5217.0,366.0,0.0
2023,Alabama,Male,85 years and over,116.0,3566.0,202.0,0.0
2023,Alabama,Female,Under 1 year,0.0,115.0,0.0,0.0
2023,Alabama,Female,1-4 years,0.0,22.0,0.0,0.0
2023,Alabama,Female,5-14 years,0.0,28.0,0.0,0.0
2023,Alabama,Female,15-24 years,0.0,123.0,0.0,0.0
2023,Alabama,Female,25-34 years,0.0,258.0,0.0,0.0
2023,Alabama,Female,35-44 years,0.0,543.0,15.0,0.0
2023,Alabama,Female,45-54 years,11.0,980.0,48.0,0.0
2023,Alabama,Female,55-64 years,43.0,2276.0,128.0,0.0
2023,Alabama,Female,65-74 years,78.0,3785.0,218.0,0.0
2023,Alabama,Female,75-84 years,118.0,5188.0,287.0,0.0
2023,Alabama,Female,85 years and over,138.0,5721.0,248.0,0.0
2020,Alaska,Male,1-4 years,0.0,0.0,0.0,0.0
2020,Alaska,Male,5-14 years,0.0,24.0,0.0,0.0
2020,Alaska,Male,15-24 years,0.0,93.0,0.0,0.0
2020,Alaska,Male,25-34 years,0.0,140.0,0.0,0.0
2020,Alaska,Male,35-44 years,0.0,180.0,13.0,0.0
2020,Alaska,Male,45-54 years,0.0,242.0,0.0,0.0
2020,Alaska,Male,55-64 years,16.0,521.0,25.0,0.0
2020,Alaska,Male,65-74 years,45.0,650.0,42.0,0.0
2020,Alaska,Male,75-84 years,46.0,627.0,48.0,0.0
2020,Alaska,Male,85 years and over,26.0,387.0,33.0,0.0
2020,Alaska,Female,Under 1 year,0.0,18.0,0.0,0.0
2020,Alaska,Female,1-4 years,0.0,0.0,0.0,0.0
2020,Alaska,Female,5-14 years,0.0,0.0,0.0,0.0
2020,Alaska,Female,15-24 years,0.0,38.0,0.0,0.0
2020,Alaska,Female,25-34 years,0.0,87.0,0.0,0.0
2020,Alaska,Female,35-44 years,0.0,103.0,0.0,0.0
2020,Alaska,Female,45-54 years,0.0,150.0,0.0,0.0
2020,Alaska,Female,55-64 years,16.0,307.0,22.0,0.0
2020,Alaska,Female,65-74 years,21.0,427.0,28.0,0.0
2020,Alaska,Female,75-84 years,27.0,440.0,31.0,0.0
2020,Alaska,Female,85 years and over,33.0,530.0,38.0,0.0
2021,Alaska,Male,Under 1 year,0.0,31.0,0.0,0.0
2021,Alaska,Male,1-4 years,0.0,0.0,0.0,0.0
2021,Alaska,Male,5-14 years,0.0,0.0,0.0,0.0
